,id_website,description
10,146923789,"Issy-les-Moulineaux - Dans un quartier calme et résidentiel, proche des commerces et des transports, beau deux-trois-pièces de 55 m² actuellement en cours de rénovation. Il se compose d'une entrée avec espaces de rangement, d'un séjour, de deux chambres, d'une cuisine non aménagée et non équipée, ainsi que d'une salle de douche. Chauffage et eau chaude collectifs, gardienne, digicode, interphone. En cas de bail code civil (bail au nom d'une société, résidence secondaire), honoraires charge locataire: 12 % TTC du loyer annuel hors charges. BIEN INSTITUTIONNEL: PAS DE GARANT OU DE CAUTION BANCAIRE POSSIBLE."
11,146945905,"ISSY LES MOULINAUX - BEAU 4 PIÈCES DE 78 M² - RUE SEVERINE - 1ER ETAGE ISSY LES MOULINAUX - BEAU 4 PIÈCES DE 78 M² - RUE SEVERINE - 1ER ETAGE (PHOTOS AVANT TRAVAUX) Dans un bel immeuble ancien, sécurisé par interphone, digicode et gardien. Nous vous proposons ce superbe 4 pièces de 78 m² carrez, au 1er étage par ascenseur. Cet appartement se compose d'une entrée, d'un séjour, de 3 chambres, d'une cuisine (non aménagée et non équipée), d'une salle de douche et d'un WC séparé. Ce très bel appartement vous séduira par sa situation idéal à proximité immédiate de nombreux commerces et transports. Chauffage et eau chaude collectif. Loyer HC: 1900euros; Provisions sur charges: 240euros soit un loyer de 2140euros charges comprises chauffage inclus. REVENUS NETS EXIGES: 3 FOIS LE MONTANT DU LOYER CC SOIT 6420euros/MOIS. BIEN INSTITUTIONNEL: PAS DE GARANT OU CAUTION BANCAIRE POSSIBLE (SAUF POUR LES ÉTUDIANTS)."
12,148159799,"ISSY LES MOULINEAUX - 43 m², 2e étage, immeuble moderne, ascenseur, entrée, séjour (canapé-lit) avec coin repas, 1 chambre (lit double), salle de bains, WC séparé, cuisine équipée (LL, LV, four); chauffage électrique, double vitrage, mobilier moderne, placards, TV, bon état, parquet, clair, calme, balcon 8 m², parking + 80 euros. Honoraires dus par le locataire selon durée et type de bail: bail résidence principale personne physique: 15 euros TTC/M2. Bail moins d'un an: 1 mois de loyer + TVA. Autre bail: 12% du loyer annuel + TVA."
13,148201119,"MAISON -HAUTEUR D ISSY, à proximité du Fort Numérique et ses commodités et à 12 min à pieds du métro/centre ville Mairie d'Issy, Maison en parfait état idéale pour une famille de 167 m² sur terrain de 442 m². Double séjour traversant, grande cuisine dinatoire meublée et équipée à neuf, 5 chambres et un bureau, une salle de bains et 2 salles d'eau. Terrasse et jardin au calme exposés Ouest, Appentis en fond de jardin. Garage. Chauffage et eau chaude Gaz individuel.., Dépôt de garantie 2800,00 euros Honoraires de location 2.505,00 euros TTC Loyer mensuel 2800 euros - Honoraire TTC à la charge du locataire 2505 euros dont 501 euros d'honoraires d'état des lieux."
14,148262645,"Métro Corentin Celton, 23 pièces de 55 m² au 4ème étage avec ascenseur dans un bel immeuble années 30 comprenant une entrée, salon, salle à manger, chambre (possibilité de faire une 2ème chambre), cuisine séparée, salle de bains, WC. Parquet. Chauffage et eau chaude collectifs. Présence d'un gardien.
Mandat N° 1183. Provision sur charges 200 euros/mois, régularisation annuelle. Dépôt de garantie 1 330 euros. Honoraires de 660 euros TTC à la charge du locataire."
15,148262651,"Métro Corentin Celton, 4 pièces de 78 m² au 1er étage avec ascenseur dans un bel immeuble années 30 en cours de rénovation comprenant une entrée, salon, salle à manger, 2 chambres, salle de bains, WC, cave. Parquet. Chauffage et eau chaude collectifs.
Mandat N° 1186. Provision sur charges 230 euros/mois, régularisation annuelle. Dépôt de garantie 1 790 euros. Honoraires de 936 euros TTC à la charge du locataire."
16,149238267,"MÉTRO MAIRIE D'ISSY 2 PIÈCES MEUBLÉ (36.86 M²) au 3ème étage d'immeuble ancien bien entretenu entrée, séjour, chambre avec placards, cuisine aménagée et équipée, salle d'eau, WC séparés CLAIR et CALME Disponible DE SUITE."
17,149317403,"Issy-les-Moulineaux - Dans un quartier calme et résidentiel, proche des commerces et des transports, beau deux-trois-pièces de 55 m² actuellement en cours de rénovation. Il se compose d'une entrée avec espaces de rangement, d'un double-séjour et d'une chambre (ou d'un séjour et de deux chambres), d'une cuisine non aménagée et non équipée, ainsi que d'une salle de douche. Chauffage et eau chaude collectifs, gardienne, digicode, interphone. En cas de bail code civil (bail au nom d'une société, résidence secondaire), honoraires charge locataire: 12 % TTC du loyer annuel hors charges. BIEN INSTITUTIONNEL: PAS DE GARANT OU DE CAUTION BANCAIRE POSSIBLE."
18,149328263,"ISSY LES MOULINAUX - BEAU 3 PIÈCES DE 74 M² - REFAIT A NEUF - RUE SEVERINE - 2 CHAMBRES A LOUER VIDE - TRÈS BEAU 3 PIÈCES DE 74 M² - REFAIT À NEUF - RUE SEVERINE. Dans un bel immeuble ancien, sécurisé par interphone, digicode et gardien. Nous vous proposons ce superbe 3 pièces de 74 m² carrez, au rez de chaussee. Cet appartement se compose d'une entrée, d'un grand séjour, de 2 chambres, d'une cuisine (non aménagée et non équipée), d'une salle de bains et d'un WC séparé. Ce très bel appartement vous séduira par sa situation idéal à proximité immédiate de nombreux commerces et transports. Chauffage et eau chaude collectif. Loyer HC: 1 790euros; Provisions sur charges: 230euros. Soit un loyer CC de 2020euros REVENUS NETS EXIGES: 3 FOIS LE MONTANT DU LOYER CC SOIT 6030euros/MOIS. BIEN INSTITUTIONNEL: PAS DE GARANT OU CAUTION BANCAIRE POSSIBLE (SAUF POUR LES ÉTUDIANTS)."
19,149425239,"Meublé, Issy Tramway T2 - Au neuvième étage d'une résidence de standing au coeur de l'éco-quartier découvrez un charmant studio offrant un séjour/cuisine ouvrant sur joli balcon, une salle d'eau chaleureuse.
A voir rapidement."
20,149601507,"Mairie d'Issy - quartier recherché ! Rue HOCHE. Dans un immeuble de 2000 nous vous proposons un appartement de 2 pièces entièrement rénové, situé au 3ème étage avec ascenseur. Comprenant entrée avec placard, séjour, cuisine non aménagée, WC, dégagement, une chambre avec placard, salle de bains et un balcon. Une cave et parking complètent ce bien. Pour les visites, merci de contacter l'agence par mail ou Dossier en ligne. Mlle CLAVELIN."
21,149772055,"ISSY LES MOULINEAUX - A 400 mètres du métro CORENTIN, Appartement T3 de 61m² au 11ème étage. Une entrée, un séjour spacieux avec cuisine ouverte et équipée. Deux chambres dont une avec placard. Une salle de bains et un WC séparé. Proche transport en commun, restaurants, écoles, commerces."
22,149946877,"Métro Corentin Celton, proche des commerces, 4 pièces de 78 m² au 5ème étage avec ascenseur dans un bel immeuble années 30 comprenant une entrée, salon, salle à manger, 2 chambres, salle de bains, WC, cave. Parquet. Chauffage et eau chaude collectifs. Précense d'un gardien.
Lumineux.
Mandat N° 1193. Provision sur charges 280 euros/mois, régularisation annuelle. Dépôt de garantie 2 000 euros. Honoraires de 960 euros TTC à la charge du locataire."
23,150309567,"Promenade du Verger 92130 Issy-Les-Moulineaux - Charmant trois pièces de 60 m² au 1er étage avec ascenseur d'un immeuble de standing, ce bien est composé d'une entrée avec rangements, un espace séjour (canapé convertible) et salle à manger donnant sur un balcon de 8 m², une cuisine américaine avec illot central entièrement équipée (réfrigérateur, congélateur, micro-onde, four, hotte, plaques, lave-vaisselle, vaisselles,..), une chambre avec rangements (lit 160cm), une seconde chambre avec rangements, une salle de bains, un WC séparé avec lave-linge. Digicode, interphone, domotique pour la gestion de l'appartement (volets électriques, chauffage, éclairage,..). Une place de parking dans la résidence. Chauffage et eau chaude collectifs. Proximité Gare Issy et Mairie d'Issy (métro ligne 12 et RER C).
Honoraires locataire:
- si société: 2 448,00 euros TTC (1,2 mois de loyer CC + TVA)
- si résidence secondaire: 2 040,00 euros TTC (1 mois de loyer CC + TVA)."
24,150382089,"Bien situé dans une résidence à 2 pas du centre commercial des 3 moulins, à une dizaine de minutes à pied du RER C Issy, dans un quartier familial avec écoles et crèches, à louer un logement de type 3 pièces de 64,59 m² situé au 6ème étage avec ascenseur. Entrée, séjour, cuisine, deux chambres, salle de bains, WC séparés, chauffage individuel au gaz, plusieurs rangements, parking intérieur. Visite après validation de votre dossier.DIRECT BAILLEUR - PAS DE FRAIS DE DOSSIER."
25,150604225,"AVENUE JEAN JAURÈS, situé dans le centre ville d'Issy les Moulineaux, tout proche du Mairie d'Issy (ligne 12). Dans une résidence récente et sécurisée. Bel appartement de 3 pièces au 1er étage comprenant: une entrée, un dégagement desservant un séjour, une cuisine séparée, deux chambres, une salle de bains et des WC séparés. Également une cave et un emplacement de parking sont situés en sous-sol. Le chauffage et l'eau chaude sont individuels. Disponibilité immédiate. 'Si bail code civil, conditions exclues des champs d'application de la loi du 6 Juillet 1989'."
26,150663765,"CONTACT UNIQUEMENT PAR E-MAIL ISSY-LES-MOULINEAUX - Boulevard Galliéni (37,08 m² carrez) Dans un immeuble ancien avec beaucoup de charme, à 5min de mairie d'Issy TRÈS BEAU 2 PIÈCES en duplex avec une surface développée de 50.78 m² comprenant: entrée directe dans le séjour, cuisine aménagée, une chambre mansardée, une salle de bains avec WC et une grande cave. Appartement en très bon état.."
27,150901429,"Rue Henri Tariel à proximité du métro maire d'Issy 
Bel appartement d'une superficie de 99,70m², composé d'un grand salon, deux  chambres, salle de bains, et cuisine indépendante.
Une cave et un parking complètent ce bien."
28,150904447,"Nous vous proposons au 7ème et dernier étage avec ascenseur cet appartement de 3 pièces lumineux, comprenant une entrée, un séjour/salon avec son balcon, une cuisine fermée et aménagée, 2 chambres, une salle de bains, un WC séparé et une cave. Situé à Issy-les-mlx proche Meudon, vous trouverez des commerces dont un centre commercial et pour les transports: bus, T2, RER C."
29,150908121,SANS HONORAIRES. Appartement en parfait état avec cave et parking en sous-sol.
30,150919989,"Dans l'éco-quartier du Fort d'Issy, Immeuble BBC de 2013,3 pièces bien agencé et lumineux avec balcon offrant entrée, pièce principale avec cuisine, 2 chambres, salle de bains, WC, rangement, cave, parking et chauffage collectif."
31,150968023,"A proximité du métro Mairie d'Issy 
 
Dans bel immeuble moderne - rue Henri Tariel 
Beau 5 pièces situé au 1er étage avec ascenseur, comprenant un salon, 4 chambres, salle de bains, salle de douche et cuisine indépendante."
32,150974109,SANS HONORAIRES. Appartement en parfait état avec cave et parking en sous-sol.
33,150980265,"Dans une résidence des années 2000 un appartement meublé de deux pièces, lumineux, loué avec une cave et un parking.
Assurance Multirisques Privilège *: 12.6 euros / mois
*Services facultatifs, voir conditions en agences."
34,151011721,"Crédit Agricole Immobilier vous propose un appartement T3 comprenant une cuisine équipée et ouverte sur le séjour, 2 chambres, 1 salle de bains aménagée avec meuble sous vasque et baignoire. 1 WC. Honoraires de location (TTC) à la charge du locataire pour la réalisation des services suivants: visites, constitution de dossier, frais de rédaction de bail, état des lieux. Dépôt de garantie, à verser par le locataire correspond à 1 mois de loyer HC. Nous consulter pour disponibilité. 1775 euros par mois charges comprises, dont 189 euros de provisions sur charges - Régularisation annuelle Appelez-nous* *Du lundi au jeudi de 9h à 18h, le vendredi de 9h à 17h Voir mentions sur site."
35,151053285,"Mairie D'issy: Dans copropriété ancienne bien entretenue avec gardien, appartement 3 pièces de 64,35m² CARREZ. Comprenant double séjour (possibilité 2e chambre), 1 chambre, cuisine séparée équipée, salle d'eau, WC séparé, dressing. Balcon et cave complètent l'ensemble. LUMINEUX, 5 minutes du métro et des commerces. Ascenseur. Cave en sous-sol."
36,151156903,"Charmante maison dans quartier pavillonnaire du fort d issy - idéalement placée proche des transports en commun, entièrement refaite a neuf avec des prestations de qualité et bénéficiant de plusieurs espaces extérieurs / terrasses, comprenant une entrée, un séjour cathédrale très lumineux avec cuisine ouverte aménagée et semi équipée donnant sur une terrasse, suite parentale avec salle d'eau et WC, deux chambres, une salle d'eau, WC, une buanderie et de nombreux rangements."
37,151161073,"VISITE VIRTUELLE DISPONIBLE. Métro Mairie d'Issy à 240m, superbe appartement meublée refait à neuf, composé d'une entrée, double séjour donnant sur une loggia, une cuisine neuve aménagée et équipée, trois belles chambres avec placard dont une donnant sur un balcon, une salle de bains, une salle d'eau avec WC, un WC indépendant avec lave mains, nombreux rangements, une cave et un parking. Le tout proche commerces, transports métro ligne 12, bus, école et collège à proximité."
38,151213721,"PAR INSTITUTIONNELS APPARTEMENT 4 PIÈCES DE STANDING 108m² AVEC TERRASSE CAVE ET PARKING
A LOUER.
Proche métro Mairie d'Issy, situé rue du Capitaine Ferber, dans une résidence moderne privée avec parc-jardins,
en 3ème étage avec ascenseur d'un immeuble récent 2008 de standing, avec gardien:
-4 PIÈCES 108m² A LOUER.
Composé d'une entrée, d'un beau séjour de 32m² qui ouvre sur une agréable terrasse de 7m², de 3 chambres (de 15m², de 13m², et de 13,5m²), d'une cuisine séparée, d'une salle de bains, d'un WC séparé, et d'une salle d'eau avec WC. Nombreux rangements, dégagements.
Un parking et une cave sont aussi compris.
Parquet au sol dans l'appartement.
Idéal pied à terre famille.
Dans une résidence de très bon standing."
39,151218633,"NCG IMMOBILIER vous propose en rez-de-chaussée un appartement de 47 m² Meublé Rue Henri Tariel proche du parc Henri Barbusse - Cet appartement comprend une entrée, un séjour, une cuisine aménagée et équipée, une chambre, une salle de bain et un WC - Une cave en sous-sol - Frais d'agence: 567 € + frais état des lieux: 141.75€ Merci de prendre contact avec Mme Sabrina Asfour."
40,151228903,"Au 5 bis rue Aristide Briand, dans résidence neuve et sécurisée, beau 3 pièces lumineux de 55.60m². Au 4ème étage avec ascenseur, l'appartement se compose d'une entrée, un séjour avec cuisine ouverte aménagée donnant accès au balcon, une chambre parentale avec salle d'eau, une salle de bains, une chambre avec rangements donnant accès à une grande terrasse et des WC séparés.
La résidence est neuve, à 100m du tramway ""les moulineaux"" et de la gare RER C; commerces et supermarché Les 3 moulins à 5 minutes.
Place de stationnement disponible en supplément, nous contacter."
41,151240241,"Rare Appartement indépendant- Tramway - Dans un quartier commerçant à proximité de l'île Saint Germain,
Immeuble art déco, découvrez cet appartement avec accès indépendant; Profitez de la double exposition sur plus de 100 m² sur rue et jardin a
Double séjour, trois chambres spacieuses, une salle de bain confortable et une cuisine séparée.
Deux places de stationnement et une cave directement accessible agrémentent cet appartement recherché.
A voir rapidement."
42,151256065,"Joli studio situé au 2ème étage d'un immeuble récent avec ascenseur comprenant: entrée + placards, pièce principale avec coin cuisine équipée, salle de bains + WC. L'ensemble pour une superficie habitable de 19m². Quartier résidentiel. Proche toute commodité. Libre de suite."
43,151379841,"Issy Les Moulineaux - Parc Henri Barbusse~Vaste 3 pièces de 78 m² refait à neuf avec balcon donnant sur verdure comprenant une entrée, dressing, cuisine équipée, salle de bains, WC, séjour, 2 chambres, très ensoleillé et calme."
44,151438605,"LIMITROPHE CLAMART - Ligne N Montparnasse - Au 2ème étage, découvrez ce bel appartement meublé et rénové avec goût, offrant un séjour avec cuisine aménagée et équipée, une chambre avec rangement, une salle d'eau avec carreaux de ciment et un WC.
A voir rapidement."
45,151447291,"ENTRE PORTE DE VERSAILLES ET CORENTIN CELTON - dans un immeuble neuf, Magnifique appartement de 3/4 pièces et 83 m² comprenant 1 entrée, 1 grande pièce à vivre avec cuisine séparée par une verrière, 2/3 chambres, 1 salle d'eau et 1 WC indépendant. Balcon terrasse de 15 m² donnant sur jardin et exposé SUD / OUEST - Cave - Très belles prestations."
46,151457239,"PORTE DE VERSAILLES - CORENTIN CELTON - LIGNE 12- Studio 27.05m² au 4ème étage avec ascenseur composé d'une entrée, une pièce principale, une cuisine séparée, un WC séparé, une salle d'eau et une cave. Chauffage collectif CLAIR et CALME Tel: ou SMS."
47,151464381,"Rue de la Défense, VERDIER IMMOBILIER agence immobilière à Montrouge vous propose un studio à louer, d'une surface de 21,25 m², au rez-de-chaussée, comprenant: une pièce principale d'une surface de 16,05 m², un coin cuisine, une salle d'eau avec WC.
Chauffage et eau chaude individuel électrique.
Situé à côté de du Parc Henri Barbusse, des Bus 169 et 290, du RER C station "" ISSY "", cet appartement en bon état est fonctionnel et calme.
Le loyer s'élève à 629 € Hors Charges, les Charges sont de 19 €, les honoraires d'agence sont de 318,75 TTC dont 63,75 € de frais d'état des lieux.
Benjamin LE TURCQ est à votre disposition pour les visites ainsi que pour les questions que vous souhaiteriez lui poser.
VERDIER IMMOBILIER 9 Avenue Verdier 92120 Montrouge."
48,151545587,"NCG IMMOBILIER vous propose Rue Marcel Miquel, dans le quartier de la ferme 3 pièces comprenant entrée cuisine séjour donnant sur le jardin privatif deux chambres salle de bains WC séparés grand dressing. Chauffage et eau chaude individuels électriques. Parquet - Cave inclus et possibilitée de louer parking en sous-sol- Proche centre commercial et écoles. Frais d'agence: 755.10 euros + frais état des lieux: 188.80 euros -Merci de prendre contact avec Sabrina Asfour."
49,151623011,"Quartier des épinettes - RER C T5 refait à neuf au 11ème étage vue époustouflante, cuisine équipée, parking double en sous-sol, cave. Entrée, séjour double, cuisine équipée, trois chambres, salle de bains, salle d'eau, WC.
Assurance Multirisques Privilège *: 21.77 euros / mois
*Services facultatifs, voir conditions en agences."
50,151635433,"Issy les Moulineaux - Porte de Versailles - A 3 minutes à pieds des métros Porte de Versailles et Corentin Celton et proche de toutes commodités, nous vous proposons ce magnifique studio meublé entièrement rénové, comprenant une pièce principale, une cuisine ouverte aménagée et équipée, une salle d'eau avec WC. Une cave complète ce bien."
51,151656659,"ISSY LES MOULINEAUX - RUE MARCEL MIQUEL Proche des quais de seine, dans résidence récente sécurisée, au 3ème étage avec ascenseur, 3 pièces de 75 m² en très bon état comprenant une entrée, un séjour de 26 m² donnant sur balcon, une cuisine indépendante, deux chambres, une salle de bains, un WC indépendant, une cave et une place de parking en sous-sol. Énergie: 1217E/GES: 11C. Loyer: 1.621 euros charges comprises dont 95 euros de charges. Dépôt de garantie: 1.526 euros Honoraires charge locataire: 1.125 euros TTC dont 225 euros pour état des lieux."
52,151685893,"MÉTRO CORENTIN CELTON, immeuble situé au pied du Métro (ligne 12) et des bus. A proximité également des tous les commerces. Très bel appartement entièrement rénové de 72 m² spacieux et lumineux - traversant et sans aucun vis à vis comprenant 4 pièces au 2ème étage sans ascenseur composé d'une entrée, un séjour double, 2 chambres, une cuisine à équiper, une salle de bains et un WC séparé. Chauffage et eau chaude individuel - parquet/moulures /cheminée -Honoraires d'agence: 864 euros + Honoraires état des lieux: 216 euros. Merci de contacter Mme Sabrina A."
53,151685911,"Situé au 5ème étage d'un immeuble des années 70, appartement de 80m², composé d'un double salon, d'une cuisine indépendante non aménagée, deux chambres et d'une salle de bains.
Une cave complète ce bien.
Appartement lumineux.
Appartement situé à proximité de la porte de Versailles.
N'hésitez pas à nous contacter pour parler de l'appartement et éventuellement faire une visite. Nous restons à votre disposition.
Mandat N° 1235. Loyer CC: 2 280 euros. Loyer HC: 2 000 euros. Provision sur charges 280 euros/mois, régularisation annuelle. Dépôt de garantie 1 900 euros. Honoraires de 1 200 euros TTC à la charge du locataire comprenant 240 euros pour l'état des lieux. Bail code civil nous consulter."
54,151701847,"EXCLUSIVITÉ SIA IMMOBILIER
 
 Dans une résidence neuve de standing, en plein coeur d'un quartier calme et agréable, nous vous proposons un beau 3 pièces d'une superficie de 60 m² situé en rez-de-jardin.
 Cet appartement se compose d'un agréable séjour donnant sur une terrasse et jardin privatif de 40 m², d'une cuisine équipée, de 2 chambres, d'une salle de bain avec baignoire et d'un WC séparé.
2 places de parking complètes cet appartement.
 
 
 10mn en voiture de Paris 15ème 
 RER C (Issy) 16 min à pieds
 MÉTRO Ligne 12 (Mairie d'Issy) 14 min à pieds
 TRANSILIEN N (Clamart) 10 min à pieds
 BUS 169 & 323 4 min à pieds
 Aux pieds: Commerces et commodités à proximité."
55,151745259,"Appartement de type F3 en rez-de-chaussée, double exposition.
Séjour donnant sur une petite terrasse, cuisine aménagée, salle de bains, toilettes séparées, deux chambres, une cave. Chauffage individuel électrique ainsi que l'eau chaude.
Petite immeuble calme et bien entretenue de 1980.
Travaux de rénovation en cours, visites en fin de mois."
56,151787529,"Bel appartement meublé dans la verdure de 3 pièces au 4ème étage avec ascenseur, comprenant: entrée - pièce principale avec balcon (26.80m²) - cuisine (8.70m²) - dégagement avec placards (6.10m²) - chambre 1 (10.50m²) - chambre 2 avec placard (12.40m²) - salle de bains (3.60m²) avec WC séparé. Place de parking au sous-sol inclus dans le prix de loyer. Colocation non acceptée !!"
57,151798819,"Entre Issy-Val de Seine et Aquaboulevard, au boulevard Galliéni, un appartement 2 pièces comprenant entrée, séjour et cuisine ouverte, chambre, salle d'eau et WC, nombreux rangements. Bel état. Double vitrage acoustique."
58,151848145,"A 10 minutes à pied du RER C Issy Val de Seine, du métro 12 Mairie d'Issy, du centre ville et de toutes les commodités, à louer DIRECT BAILLEUR - PAS DE FRAIS DE DOSSIER. À louer un 3 pièces de 54.51 m² situé au 1er étage. Entrée, séjour, cuisine, deux chambres, salle de bain et WC, chauffage collectif compris dans les charges, parking, gardien. Visite après validation de votre dossier."
59,151866711,"Proche gare de clamart dans une résidence avec gardien 3 pièces en bon état lumineux au 2ème étage séjour avec cuisine ouverte équipée 2 chambres salle d'eau WC placard et cave
Assurance Multirisques Privilège *: 16.69 euros / mois
*Services facultatifs, voir conditions en agences."
60,151866713,"Proche du centre, du Métro, du RER C, Dans immeuble bourgeois sécurisé, 3 pièces bien agencé et fonctionnel offrant une entrée, un double séjour, 1 chambre, cuisine séparée, salle de bains, WC, rangement."
61,151910769,"FORT D'ISSY - 2 PIÈCES 45.04 m² - 36 Promenade du verger AU 3ème étage ascenseur d'un immeuble des années 2011 de standing. Comprenant: Entrée, séjour, chambre, cuisine séparée, salle d'eau/WC. -parking 214 Contact: ou SMS."
62,151954543,"Au 5 bis rue Aristide Briand, dans résidence neuve et sécurisée, beau 4 pièces lumineux de 87.30m².
Au 7ème et dernier étage avec ascenseur, l'appartement se compose d'une entrée, un séjour donnant accès à la terrasse, une cuisine ouverte aménagée et équipée, un WC séparé, 3 chambres dont une avec salle d'eau, une salle de bains avec WC.
La résidence est neuve, à 100m du tramway ""les moulineaux"" et de la gare RER C; commerces et centre commercial Les 3 moulins à 5 minutes.
Place de stationnement disponible en supplément, nous contacter."
63,151960277,"MARIE D'ISSY JOLI STUDIO (17m²) au 2ème étage d'un immeuble bien entretenu situé rue du Gouverneur Général Éboué. Comprenant: Entrée avec placard, Pièce principale, Cuisine (plaques et réfrigérateur), Salle d'eau/WC, possibilité de CAVE. CLAIR ET CALME."
64,152030759,"Au pied du métro et de la mairie d'issy quartier très commerçant bel immeuble ancien - digicode ascenseur
Assurance Multirisques Privilège *: 14.15 euros / mois
*Services facultatifs, voir conditions en agences."
65,152037029,"92 issy les moulineaux rue telles de la poterie
 métro mairie d issy
 2 pièces de 46 m² en bon état
 immeuble ancien 1er etage avec ascenseur
 cuisine équipée séjour chambre
 salle de bains WC
 chauffage collectif 
 cave parquet
 loyer 1 200 euros
 contactez 
 seuls frais 250 euros sur dossier complet
 diverses autres locations disponibles."
66,152037507,"Issy les Moulineaux
Le cabinet Vecteur Immobilier vous propose à la location un beau studio entièrement neuf (immeuble neuf - jamais habité) d'une surface de 39,61 m² au 8ème et dernier étage d'un immeuble situé rue Guynemer.
Composé d'une grande pièce principale de 25,89 m², d'une cuisine ouverte de 5,42 m² et d'une belle salle d'eau avec WC de 5,03 m².
Une balcon complete ce bien."
67,152049059,"ISSY LES MOULINAUX - BEAU 4 PIÈCES DE 80 M² - RUE SEVERINE - 4ème ETAGE ISSY LES MOULINAUX - BEAU 4 PIÈCES DE 80 M² - RUE SEVERINE - 4ème ETAGE Dans un bel immeuble ancien, sécurisé par interphone, digicode et gardien. Nous vous proposons ce superbe 4 pièces de 80 m² carrez, au 4ème étage par ascenseur. Cet appartement se compose d'une entrée, d'un séjour, de 3 chambres, d'une cuisine (non aménagée et non équipée), d'une salle de douche et d'un WC séparé. Ce très bel appartement vous séduira par sa situation idéal à proximité immédiate de nombreux commerces et transports. Chauffage et eau chaude collectif. Loyer HC: 2000euros; Provisions sur charges: 280euros soit un loyer de 2280euros charges comprises chauffage inclus. REVENUS NETS EXIGES: 3 FOIS LE MONTANT DU LOYER CC SOIT 6840euros/MOIS. BIEN INSTITUTIONNEL: PAS DE GARANT OU CAUTION BANCAIRE POSSIBLE (SAUF POUR LES ÉTUDIANTS)."
